Strategy,Sharpe,Fitness,Turnover,Max Drawdown
"CorrSelAdaptive(mw=0.08,mc=0.4,lb=180,n=3)",+3.098,6.778,0.212,-0.088
"CorrSelAdaptive(mw=0.08,mc=0.5,lb=180,n=3)",+3.098,6.778,0.212,-0.088
"QPOptimal(mw=0.02,lb=240,rb=60)",+3.042,5.837,0.193,-0.070
"ProperAdaptive(mw=0.03,lb=180)",+3.012,5.680,0.220,-0.073
"QPOptimal(mw=0.05,lb=300,rb=30)",+2.966,5.409,0.261,-0.079
"ProperAdaptive(mw=0.03,lb=180)",+2.966,5.557,0.220,-0.074
"ProperAdaptive(mw=0.03,lb=280)",+2.944,5.554,0.215,-0.069
"QPOptimal(mw=0.02,lb=240,rb=30)",+2.943,5.524,0.194,-0.067
"CorrSelect(mw=0.05,mc=0.6,n=5)",+2.936,4.941,0.282,-0.054
"CorrSelect(mw=0.05,mc=0.7,n=5)",+2.936,4.941,0.282,-0.054
"QPOptimal(mw=0.05,lb=300,rb=15)",+2.930,5.316,0.261,-0.079
"QPOptimal(mw=0.03,lb=240,rb=30)",+2.929,5.320,0.239,-0.070
"QPOptimal(mw=0.02,lb=240,rb=15)",+2.928,5.461,0.194,-0.067
"CorrSelAdaptive(mw=0.08,mc=0.4,lb=280,n=3)",+2.928,6.146,0.209,-0.083
"CorrSelAdaptive(mw=0.08,mc=0.5,lb=280,n=3)",+2.928,6.146,0.209,-0.083
"QPOptimal(mw=0.05,lb=300,rb=60)",+2.921,5.271,0.264,-0.075
"CorrSelect(mw=0.08,mc=0.6,n=5)",+2.917,5.023,0.282,-0.057
"CorrSelect(mw=0.08,mc=0.7,n=5)",+2.917,5.023,0.282,-0.057
"CorrSelAdaptive(mw=0.08,mc=0.4,lb=240,n=3)",+2.913,6.111,0.209,-0.086
"CorrSelAdaptive(mw=0.08,mc=0.5,lb=240,n=3)",+2.913,6.111,0.209,-0.086
"CorrSelAdaptive(mw=0.08,mc=0.3,lb=240,n=2)",+2.913,5.652,0.234,-0.068
"Shrinkage(lb=240,s=0.5)",+2.903,4.780,0.235,-0.052
"CorrSelAdaptive(mw=0.08,mc=0.3,lb=280,n=2)",+2.901,5.583,0.234,-0.067
"ProperAdaptive(mw=0.03,lb=240)",+2.896,5.414,0.216,-0.071
"QPOptimal(mw=0.02,lb=180,rb=60)",+2.878,5.217,0.200,-0.068
"ProperAdaptive(mw=0.03,lb=280)",+2.870,5.374,0.214,-0.072
"QPOptimal(mw=0.05,lb=180,rb=30)",+2.861,5.077,0.267,-0.079
"QPOptimal(mw=0.03,lb=240,rb=15)",+2.855,5.063,0.240,-0.069
"CVXPYRegimeUtil(mw=0.03,lb=240,k=1.0,rs=2.0,hl=45)",+2.824,6.206,0.159,-0.073
"ProperAdaptive(mw=0.05,lb=180)",+2.824,5.361,0.233,-0.073
"ProperAdaptive(mw=0.05,lb=180)",+2.820,5.383,0.233,-0.074
"CVXPYRegimeUtil(mw=0.03,lb=240,k=1.0,rs=3.0,hl=45)",+2.819,6.189,0.159,-0.073
"CVXPYRegimeUtil(mw=0.03,lb=240,k=2.0,rs=2.0,hl=45)",+2.813,6.171,0.159,-0.073
"QPOptimal(mw=0.03,lb=240,rb=60)",+2.812,4.967,0.240,-0.070
"CVXPYRegimeUtil(mw=0.03,lb=240,k=1.0,rs=5.0,hl=45)",+2.804,6.135,0.159,-0.073
"ProperAdaptive(mw=0.03,lb=240)",+2.797,5.164,0.215,-0.074
Equal-weight,+2.795,4.430,0.247,-0.047
"SelectSharpe(n=6,d=1)",+2.795,4.430,0.247,-0.047
"CVXPYRegimeUtil(mw=0.03,lb=240,k=2.0,rs=3.0,hl=45)",+2.793,6.094,0.159,-0.073
"CVXPYRegimeUtil(mw=0.02,lb=280,k=2.0,rs=3.0,hl=45)",+2.788,6.109,0.136,-0.066
"CVXPYRegimeUtil(mw=0.02,lb=280,k=1.0,rs=5.0,hl=45)",+2.786,6.105,0.136,-0.066
"CVXPYRegimeUtil(mw=0.02,lb=280,k=2.0,rs=2.0,hl=45)",+2.784,6.101,0.135,-0.066
"CVXPYRegimeUtil(mw=0.02,lb=280,k=1.0,rs=3.0,hl=45)",+2.783,6.099,0.135,-0.066
"CVXPYRegimeUtil(mw=0.02,lb=280,k=2.0,rs=5.0,hl=45)",+2.781,6.074,0.136,-0.066
"CVXPYRegimeUtil(mw=0.02,lb=280,k=1.0,rs=2.0,hl=45)",+2.780,6.093,0.135,-0.066
"QPOptimal(mw=0.05,lb=240,rb=30)",+2.780,4.954,0.265,-0.091
"CVXPYRegimeUtil(mw=0.03,lb=240,k=2.0,rs=5.0,hl=45)",+2.774,6.013,0.159,-0.073
"ProperAdaptive(mw=0.02,lb=180)",+2.749,5.104,0.181,-0.069
"CorrSelAdaptive(mw=0.05,mc=0.6,lb=280,n=5)",+2.739,5.048,0.229,-0.075
"ProperAdaptive(mw=0.05,lb=280)",+2.723,5.094,0.229,-0.070
"CorrSelAdaptive(mw=0.05,mc=0.6,lb=180,n=5)",+2.715,4.973,0.234,-0.082
"ProperAdaptive(mw=0.05,lb=240)",+2.715,5.069,0.230,-0.072
"ProperAdaptive(mw=0.02,lb=280)",+2.714,5.091,0.177,-0.071
"CVXPYRegimeUtil(mw=0.03,lb=280,k=2.0,rs=5.0,hl=45)",+2.701,5.747,0.158,-0.071
"CVXPYRegimeUtil(mw=0.03,lb=280,k=2.0,rs=3.0,hl=45)",+2.688,5.699,0.158,-0.071
"ProperAdaptive(mw=0.02,lb=180)",+2.683,4.915,0.181,-0.069
"ProperAdaptive(mw=0.02,lb=280)",+2.683,4.978,0.178,-0.068
"CorrSelAdaptive(mw=0.05,mc=0.6,lb=240,n=5)",+2.682,4.892,0.230,-0.079
"KellyOptimal(mw=0.02,lb=280,kf=0.3,hl=45)",+2.680,5.593,0.142,-0.069
"KellyOptimal(mw=0.02,lb=280,kf=0.5,hl=45)",+2.680,5.593,0.142,-0.069
"KellyOptimal(mw=0.02,lb=280,kf=0.7,hl=45)",+2.680,5.593,0.142,-0.069
"CVXPYRegimeUtil(mw=0.02,lb=240,k=2.0,rs=5.0,hl=45)",+2.680,5.677,0.138,-0.068
"CVXPYRegimeUtil(mw=0.03,lb=280,k=1.0,rs=5.0,hl=45)",+2.678,5.662,0.158,-0.071
"CVXPYRegimeUtil(mw=0.02,lb=280,k=2.0,rs=3.0,hl=90)",+2.678,5.687,0.138,-0.065
"CVXPYRegimeUtil(mw=0.02,lb=280,k=2.0,rs=5.0,hl=90)",+2.675,5.668,0.138,-0.065
"CVXPYRegimeUtil(mw=0.02,lb=240,k=2.0,rs=3.0,hl=45)",+2.675,5.660,0.138,-0.068
"CVXPYLedoitSharpe(mw=0.02,lb=280,l2=0.001,hl=45)",+2.675,5.526,0.145,-0.069
"CVXPYRegimeUtil(mw=0.02,lb=280,k=1.0,rs=5.0,hl=90)",+2.675,5.678,0.138,-0.065
"CVXPYLedoitSharpe(mw=0.02,lb=280,l2=0.01,hl=45)",+2.674,5.521,0.145,-0.069
"CVXPYLedoitSharpe(mw=0.02,lb=280,l2=0.05,hl=45)",+2.674,5.521,0.145,-0.069
"CVXPYRegimeUtil(mw=0.02,lb=280,k=2.0,rs=2.0,hl=90)",+2.673,5.673,0.138,-0.065
"CVXPYRegimeUtil(mw=0.02,lb=280,k=1.0,rs=3.0,hl=90)",+2.672,5.671,0.138,-0.065
"QPOptimal(mw=0.05,lb=240,rb=15)",+2.670,4.608,0.265,-0.094
"CVXPYRegimeUtil(mw=0.02,lb=240,k=1.0,rs=5.0,hl=45)",+2.669,5.641,0.138,-0.068
"CVXPYRegimeUtil(mw=0.02,lb=280,k=1.0,rs=2.0,hl=90)",+2.669,5.664,0.138,-0.065
"CVXPYRegimeUtil(mw=0.03,lb=280,k=2.0,rs=2.0,hl=45)",+2.668,5.626,0.158,-0.071
"CVXPYRegimeUtil(mw=0.03,lb=280,k=1.0,rs=2.0,hl=45)",+2.663,5.612,0.158,-0.071
"CVXPYRegimeUtil(mw=0.03,lb=280,k=1.0,rs=3.0,hl=45)",+2.662,5.606,0.158,-0.071
"ProperAdaptive(mw=0.05,lb=240)",+2.661,4.956,0.229,-0.074
Adaptive(lb=240),+2.660,4.374,0.216,-0.056
Momentum(lb=240),+2.660,4.374,0.216,-0.056
"CVXPYRegimeUtil(mw=0.02,lb=240,k=2.0,rs=2.0,hl=45)",+2.656,5.602,0.138,-0.068
"QPOptimal(mw=0.05,lb=180,rb=60)",+2.655,4.563,0.269,-0.070
"CVXPYRegimeUtil(mw=0.02,lb=240,k=1.0,rs=3.0,hl=45)",+2.651,5.586,0.138,-0.068
"CVXPYRegimeUtil(mw=0.02,lb=240,k=1.0,rs=2.0,hl=45)",+2.647,5.578,0.137,-0.068
"CVXPYRegimeUtil(mw=0.03,lb=240,k=1.0,rs=2.0,hl=90)",+2.641,5.542,0.161,-0.070
"ProperAdaptive(mw=0.05,lb=280)",+2.638,4.891,0.228,-0.073
"CVXPYRegimeUtil(mw=0.03,lb=240,k=1.0,rs=3.0,hl=90)",+2.636,5.525,0.161,-0.070
"QPOptimal(mw=0.05,lb=180,rb=15)",+2.632,4.428,0.269,-0.086
"CVXPYRegimeUtil(mw=0.03,lb=240,k=2.0,rs=2.0,hl=90)",+2.631,5.510,0.161,-0.070
Top-5(lb=240),+2.628,4.187,0.233,-0.052
"ProperAdaptive(mw=0.02,lb=240)",+2.627,4.820,0.179,-0.069
"CVXPYRegimeUtil(mw=0.03,lb=240,k=1.0,rs=5.0,hl=90)",+2.623,5.480,0.161,-0.070
"QPOptimal(mw=0.03,lb=180,rb=60)",+2.615,4.391,0.244,-0.072
"CVXPYRegimeUtil(mw=0.03,lb=240,k=2.0,rs=3.0,hl=90)",+2.615,5.450,0.161,-0.071
"QPOptimal(mw=0.05,lb=240,rb=60)",+2.614,4.473,0.268,-0.086
"MinVarBayesian(mw=0.02,lb=240,hl=45)",+2.608,5.035,0.162,-0.042
"CVXPYRegimeUtil(mw=0.03,lb=240,k=2.0,rs=5.0,hl=90)",+2.601,5.394,0.161,-0.071
"QPOptimal(mw=0.02,lb=120,rb=30)",+2.595,4.440,0.196,-0.063
"ProperAdaptive(mw=0.02,lb=240)",+2.593,4.753,0.178,-0.071
"MinVarBayesian(mw=0.02,lb=280,hl=45)",+2.571,4.920,0.162,-0.041
"MinVarBayesian(mw=0.02,lb=240,hl=90)",+2.554,4.875,0.162,-0.042
"KellyOptimal(mw=0.03,lb=280,kf=0.7,hl=45)",+2.552,5.090,0.171,-0.071
"KellyOptimal(mw=0.03,lb=280,kf=0.5,hl=45)",+2.552,5.090,0.171,-0.071
"KellyOptimal(mw=0.03,lb=280,kf=0.3,hl=45)",+2.552,5.090,0.171,-0.071
"CVXPYLedoitSharpe(mw=0.03,lb=280,l2=0.001,hl=45)",+2.552,5.089,0.171,-0.071
"CVXPYLedoitSharpe(mw=0.03,lb=280,l2=0.01,hl=45)",+2.552,5.089,0.171,-0.071
"CVXPYLedoitSharpe(mw=0.03,lb=280,l2=0.05,hl=45)",+2.552,5.089,0.171,-0.071
