id,expression,is_sharpe,is_fitness,ic_mean,turnover,min_sub_sr,pnl_kurtosis,rolling_sr_std,pnl_skew,h1_sr,h2_sr,n_gates_pass,all_pass,g_is_sharpe,g_fitness,g_ic,g_stable,g_turnover,g_sub_sr,g_kurtosis,g_roll_std,g_skew
77,"add(ts_rank(ts_rank(s_log_1p(close), 240), 240), sma(volume_ratio_20d, 240))",3.936297365664215,13.760113755013691,-0.017934552991711646,0.1658896426764692,0.13963285168864148,13.198082574152142,0.054671021952791256,1.099369678699959,0.13963285168864148,4.087092501505876,7,False,True,True,True,True,True,False,True,False,True
78,"stddev(df_max(add(Sign(close), add(upper_shadow, vwap_deviation)), df_max(add(momentum_20d, momentum_5d), add(vwap_deviation, momentum_20d))), 6)",3.6125005697028487,12.992159584801016,-0.031785555513413444,0.22487376800619988,-1.550212512511188,8.679318757205486,0.044306046504026635,0.8561452642109144,-1.550212512511188,3.7304017225359916,7,False,True,True,True,False,True,False,True,True,True
79,"add(ts_rank(ts_rank(s_log_1p(close), 240), 240), sma(log(volume_ratio_20d), 24))",3.008064793506968,10.085552133946983,-0.014861241349646738,0.12474041150191698,2.1840188171901254,6.986650233820936,0.05399392087867183,0.4343985293241585,2.1840188171901254,3.0960330180518345,8,False,True,True,True,True,True,True,True,False,True
80,"stddev(df_min(df_min(Abs(momentum_20d), historical_volatility_20), ts_kurtosis(sma(upper_shadow, 120), 240)), 6)",3.141832200535706,9.258398761553549,-0.0022690417042438987,0.18189543929400767,3.4167077759182622,13.4995434119161,0.06258412583800024,1.3654798329013722,4.167388402873183,3.4167077759182622,8,False,True,True,True,True,True,True,True,False,True
81,"multiply(df_min(sma(sma(volume_momentum_1, 36), 48), df_min(sma(volume_momentum_1, 18), df_min(momentum_20d, momentum_5d))), correlation(normalize(momentum_5d), square(dollars_traded), 36))",3.8351854903309386,11.328880708547395,-0.001381024752921744,0.27265814358184176,3.725554350673216,8.778507896285415,0.044859050425781206,0.151286793740082,6.339061783591019,3.725554350673216,9,True,True,True,True,True,True,True,True,True,True
82,"stddev(df_max(add(upper_shadow, add(vwap_deviation, vwap_deviation)), df_max(add(momentum_20d, momentum_5d), normalize(momentum_5d))), 6)",3.6501346786482736,11.676056989193986,-0.021284400578068813,0.27004722494842276,2.414463089029745,11.691038503261513,0.044402498348636577,0.8226567399003798,2.414463089029745,3.7396825031055374,9,True,True,True,True,True,True,True,True,True,True
83,"stddev(df_max(ts_min(historical_volatility_60, 48), df_max(add(momentum_20d, momentum_5d), add(vwap_deviation, momentum_20d))), 6)",3.587139828270594,14.36897144146067,-0.006561579559555998,0.16943902348192988,1.1806313567731692,10.036603737262347,0.04651841260955914,0.859609609604598,1.1806313567731692,3.695187477020508,9,True,True,True,True,True,True,True,True,True,True
84,"multiply(df_min(sma(sma(lower_shadow, 18), 18), df_min(sma(volume_momentum_1, 18), df_min(momentum_20d, adv20))), add(rank(momentum_5d), df_min(true_divide(high_low_range, historical_volatility_60), df_min(high_low_range, momentum_5d))))",3.261033285245244,8.37891435893669,-0.010942970708622041,0.2755867312141021,3.2565763330105755,11.463906159543704,0.040513977709354505,0.5735034205794735,6.054842658436389,3.2565763330105755,9,True,True,True,True,True,True,True,True,True,True
85,"stddev(df_min(df_min(Abs(momentum_20d), historical_volatility_20), ts_kurtosis(ts_kurtosis(dollars_traded, 240), 240)), 6)",4.363789306679448,14.800988785971038,-0.0032293908494876837,0.21998025434852134,3.88444333469848,13.828192333231154,0.04510358840476103,1.3107149440270904,5.856251182613913,3.88444333469848,9,True,True,True,True,True,True,True,True,True,True
86,"stddev(df_min(df_min(Abs(momentum_20d), rank(lower_shadow)), ts_kurtosis(volume, 90)), 30)",3.813669620559957,22.174874866736534,-0.024740974699947967,0.06730104012699774,0.8166823771378653,4.333349756113581,0.04184468328714013,0.52496460388663,0.8166823771378653,3.8663602365311847,8,False,True,True,True,True,True,False,True,True,True
