alpha_id,TRAIN_g,VAL_g,TEST_g,TRAIN_n,VAL_n,TEST_n,FULL_n,VT_n,to_per_bar,test_dd,test_ann_ret
229,2.6761211026069085,1.9514632968569607,-1.2849352569425028,2.4909254692882636,1.6906916209753242,-1.5071454202036823,1.856683015619539,-0.1671515820399457,0.05166736168176112,-0.1486256208517348,-0.358966778343847
230,2.470332700472414,1.772818930713371,-0.48655121389550965,1.9414229475162623,1.1814282201490127,-0.7496196843120714,1.3365268363486995,-0.10461775344913711,0.1421217401024337,-0.2248052628244085,-0.27172557051149954
231,2.4755177277306744,2.257373919023248,-0.39285642665317405,2.308877990427193,2.0635741499746536,-0.5753335314841862,1.900889083124289,0.6399025681322421,0.04421021838274279,-0.15032690436060925,-0.12883107366132956
232,2.619453609653159,0.8853503914809652,2.015849110513089,2.428039042729904,0.5828488179678989,1.868990256932528,2.131005540964863,1.3505981035127175,0.052805900854806104,-0.09821515770024303,0.5832905060382022
233,2.4743066959033695,3.1920365502359056,-1.6738738188146716,2.3957709829270457,3.1162254135616654,-1.716103372725982,1.7000896803216163,0.17858860482631353,0.019914044865731496,-0.2790639627117003,-0.5726323162661947
234,2.400345562265161,2.261183941719298,-0.8504829012908026,2.2742666825832725,2.1361631563079677,-0.925074747261479,1.570933760990089,0.1794406928041704,0.029207392257453155,-0.2805121813319753,-0.3091559301463082
235,2.3145319342289867,-0.9924763728629687,-4.741483673674953,2.143374477846981,-1.1978875207244732,-4.908526040961662,0.8371233728880377,-3.1709783923446118,0.04455148716514516,-0.2968662150221043,-1.0997443122866715
236,2.4747068073431313,5.138919620265433,1.196647230593956,2.2371664161221365,4.813605457224321,1.0188023320105148,2.2665476650018035,2.3589870109984097,0.05682406886947788,-0.10339603013980792,0.2537968969733122
237,2.3384989833294445,1.916555275117969,-1.2174178812019338,2.2530892507138907,1.828709799001546,-1.2721530792732187,1.469305350356361,-0.13251484425113583,0.02270955850118819,-0.30560260811310713,-0.47387255253157656
238,2.553508846303337,-0.5627082047164265,-1.3863824316010953,2.4127845085625186,-0.7786854938695521,-1.4981990974658566,1.4894319071470092,-1.181751070702724,0.03912102900334146,-0.22650958650552155,-0.42682189591826064
239,2.4076776565670452,0.7787405019317284,-1.8134181696145806,2.329905199772957,0.6833804729293808,-1.8892471489674525,1.530707799237971,-0.7583579696038716,0.021019671862224764,-0.25742120372993715,-0.48157984219137157
240,1.7566069635890191,0.6605124147074656,0.969980381912767,1.4907789024277125,0.3098103886915549,0.5778330420516263,1.2741653040589662,0.44149200096229785,0.07831919093331512,-0.09961627729885714,0.10418316967067058
241,2.298202125536238,3.9768935023190166,-0.7060916307946136,2.2017860070439372,3.8834607820747076,-0.7991337927193215,2.0420756518602676,1.5396857946976874,0.02200339390953657,-0.08898892033591921,-0.14770578372924806
242,2.464407563733745,2.955172900919504,-1.131864284391762,2.3768355737713667,2.8544793985559735,-1.204619498329802,1.9377223272614368,0.6618431785934913,0.019743949716117336,-0.14348430990480276,-0.24888663922614837
243,2.3872530493195003,0.3037713129843962,-1.7442442750830671,2.3164199632427334,0.21092618942444877,-1.81156020942519,1.5048161956051003,-0.9486453581512928,0.020353271922900824,-0.18068665141705775,-0.48358506073993945
