symbol,shortable,shortableShares,last_close,shortable_dollars,shortable_indicator,fee_rate,status
CLFD,True,162664,30.95,5034450.8,,,AVAILABLE
CLMB,True,554952,22.1839,12310999.67,,,AVAILABLE
CLNE,True,4183363,2.295,9600818.08,,,AVAILABLE
CLPT,True,900485,11.2149,10098849.23,,,AVAILABLE
CLYM,True,1426346,9.26,13207963.96,,,AVAILABLE
CMSA,True,32500,21.9295,712708.75,,,AVAILABLE
CMSC,True,32732,22.74,744325.68,,,AVAILABLE
CMSD,False,0,23.04,0.0,,,HARD_TO_BORROW
CNXN,True,333330,63.62,21206454.6,,,AVAILABLE
COFS,False,0,30.81,0.0,,,HARD_TO_BORROW
CPF,True,607806,34.78,21139492.68,,,AVAILABLE
CPS,True,984210,31.62,31120720.2,,,AVAILABLE
CRCT,True,398123,4.555,1813450.26,,,AVAILABLE
CRD-A,False,0,10.86,0.0,,,HARD_TO_BORROW
CRNC,True,1088493,8.95,9742012.35,,,AVAILABLE
CRSR,True,1070135,6.5267,6984450.1,,,AVAILABLE
CSV,True,230905,48.85,11279709.25,,,AVAILABLE
CTA-PA,False,0,54.75,0.0,,,HARD_TO_BORROW
CTBB,True,924033,19.16,17704472.28,,,AVAILABLE
CTBI,True,404251,66.33,26813968.83,,,AVAILABLE
CTDD,True,775864,19.31,14981933.84,,,AVAILABLE
CTEV,True,265147,21.965,5823953.85,,,AVAILABLE
CTKB,True,9020013,4.565,41176359.35,,,AVAILABLE
CTNM,False,0,13.44,0.0,,,HARD_TO_BORROW
CTOS,False,0,7.925,0.0,,,HARD_TO_BORROW
CTRN,True,122829,50.69,6226202.01,,,AVAILABLE
CUBB,True,70298,23.3,1637943.4,,,AVAILABLE
CVEO,False,0,30.89,0.0,,,HARD_TO_BORROW
CVLG,True,586599,30.96,18161105.04,,,AVAILABLE
CWBC,False,0,24.305,0.0,,,HARD_TO_BORROW
CYH,True,1977457,3.21,6347636.97,,,AVAILABLE
CYRX,True,1022319,10.49,10724126.31,,,AVAILABLE
