symbol,shortable,shortableShares,last_close,shortable_dollars,shortable_indicator,fee_rate,status
NXP,True,20005,14.29,285871.45,,,AVAILABLE
OAK-PA,False,0,20.97,0.0,,,HARD_TO_BORROW
OAK-PB,False,0,20.9,0.0,,,HARD_TO_BORROW
OBT,False,0,36.1,0.0,,,HARD_TO_BORROW
ODC,True,294838,73.27,21602780.26,,,AVAILABLE
OFIX,False,0,12.72,0.0,,,HARD_TO_BORROW
OFLX,False,0,33.18,0.0,,,HARD_TO_BORROW
ONIT,False,0,45.31,0.0,,,HARD_TO_BORROW
OOMA,False,0,15.84,0.0,,,HARD_TO_BORROW
OPFI,False,0,8.865,0.0,,,HARD_TO_BORROW
OPK,False,0,1.225,0.0,,,HARD_TO_BORROW
OPTU,False,0,1.695,0.0,,,HARD_TO_BORROW
OPTX,False,0,9.68,0.0,,,HARD_TO_BORROW
OPY,False,0,113.71,0.0,,,HARD_TO_BORROW
ORGO,False,0,2.495,0.0,,,HARD_TO_BORROW
ORN,False,0,12.1,0.0,,,HARD_TO_BORROW
OXLCG,False,0,24.9,0.0,,,HARD_TO_BORROW
OXLCI,False,0,25.5699,0.0,,,HARD_TO_BORROW
PACK,False,0,4.255,0.0,,,HARD_TO_BORROW
PANL,False,0,7.795,0.0,,,HARD_TO_BORROW
PBFS,False,0,14.29,0.0,,,HARD_TO_BORROW
PBYI,False,0,7.475,0.0,,,HARD_TO_BORROW
PCB,False,0,24.275,0.0,,,HARD_TO_BORROW
PDLB,False,0,17.715,0.0,,,HARD_TO_BORROW
PFIS,False,0,58.325,0.0,,,HARD_TO_BORROW
PGC,False,0,39.715,0.0,,,HARD_TO_BORROW
PKBK,False,0,30.21,0.0,,,HARD_TO_BORROW
PKOH,False,0,26.84,0.0,,,HARD_TO_BORROW
PLBC,False,0,52.475,0.0,,,HARD_TO_BORROW
PLSE,False,0,23.435,0.0,,,HARD_TO_BORROW
PNNT,False,0,4.7,0.0,,,HARD_TO_BORROW
PPHC,False,0,13.762,0.0,,,HARD_TO_BORROW
PRAA,False,0,21.2483,0.0,,,HARD_TO_BORROW
PRH,False,0,24.0787,0.0,,,HARD_TO_BORROW
PROK,False,0,2.135,0.0,,,HARD_TO_BORROW
PRS,False,0,23.32,0.0,,,HARD_TO_BORROW
PRTC,False,0,18.38,0.0,,,HARD_TO_BORROW
PRTH,False,0,5.2865,0.0,,,HARD_TO_BORROW
PSBD,False,0,11.065,0.0,,,HARD_TO_BORROW
PTN,False,0,22.39,0.0,,,HARD_TO_BORROW
PUBM,False,0,9.789,0.0,,,HARD_TO_BORROW
QUAD,False,0,7.58,0.0,,,HARD_TO_BORROW
RBB,False,0,22.9,0.0,,,HARD_TO_BORROW
RBBN,False,0,2.83,0.0,,,HARD_TO_BORROW
RBCAA,False,0,75.33,0.0,,,HARD_TO_BORROW
RCKY,False,0,43.74,0.0,,,HARD_TO_BORROW
RDVT,False,0,41.44,0.0,,,HARD_TO_BORROW
RGNX,False,0,9.48,0.0,,,HARD_TO_BORROW
RJET,False,0,21.69,0.0,,,HARD_TO_BORROW
RLGT,False,0,8.36,0.0,,,HARD_TO_BORROW
RM,False,0,39.65,0.0,,,HARD_TO_BORROW
RMNI,False,0,3.74,0.0,,,HARD_TO_BORROW
RMR,False,0,17.1709,0.0,,,HARD_TO_BORROW
RNGR,False,0,17.22,0.0,,,HARD_TO_BORROW
RPAY,False,0,3.9543,0.0,,,HARD_TO_BORROW
RSVR,False,0,10.075,0.0,,,HARD_TO_BORROW
RXST,False,0,7.453,0.0,,,HARD_TO_BORROW
RZB,False,0,25.138,0.0,,,HARD_TO_BORROW
RZC,False,0,25.34,0.0,,,HARD_TO_BORROW
SAJ,False,0,25.47,0.0,,,HARD_TO_BORROW
SAR,False,0,23.17,0.0,,,HARD_TO_BORROW
SAT,False,0,24.94,0.0,,,HARD_TO_BORROW
SAY,False,0,25.4299,0.0,,,HARD_TO_BORROW
SAZ,False,0,25.5,0.0,,,HARD_TO_BORROW
SBC,False,0,3.53,0.0,,,HARD_TO_BORROW
SBGI,False,0,16.9545,0.0,,,HARD_TO_BORROW
SBSI,False,0,33.245,0.0,,,HARD_TO_BORROW
SDHI,False,0,10.33,0.0,,,HARD_TO_BORROW
SEPN,False,0,26.44,0.0,,,HARD_TO_BORROW
SES,False,0,1.18,0.0,,,HARD_TO_BORROW
SFB,False,0,19.875,0.0,,,HARD_TO_BORROW
SFST,False,0,56.47,0.0,,,HARD_TO_BORROW
SGP,False,0,24.655,0.0,,,HARD_TO_BORROW
SGU,False,0,12.55,0.0,,,HARD_TO_BORROW
SHBI,False,0,19.7328,0.0,,,HARD_TO_BORROW
SHEN,False,0,16.765,0.0,,,HARD_TO_BORROW
SIGA,False,0,4.6005,0.0,,,HARD_TO_BORROW
SKYH,False,0,10.975,0.0,,,HARD_TO_BORROW
SLRC,False,0,16.13,0.0,,,HARD_TO_BORROW
SMBC,False,0,67.16,0.0,,,HARD_TO_BORROW
SMBK,False,0,43.12,0.0,,,HARD_TO_BORROW
SMC,False,0,29.28,0.0,,,HARD_TO_BORROW
SMP,False,0,37.785,0.0,,,HARD_TO_BORROW
SOJC,False,0,21.645,0.0,,,HARD_TO_BORROW
SOJD,False,0,20.38,0.0,,,HARD_TO_BORROW
SOJE,False,0,17.4193,0.0,,,HARD_TO_BORROW
SOR,False,0,45.7601,0.0,,,HARD_TO_BORROW
SPFI,False,0,44.25,0.0,,,HARD_TO_BORROW
SPH,False,0,18.885,0.0,,,HARD_TO_BORROW
SREA,False,0,21.925,0.0,,,HARD_TO_BORROW
SRTA,False,0,4.51,0.0,,,HARD_TO_BORROW
SSII,False,0,4.9,0.0,,,HARD_TO_BORROW
SSP,False,0,5.24,0.0,,,HARD_TO_BORROW
SSSS,False,0,13.2216,0.0,,,HARD_TO_BORROW
SSTK,False,0,17.615,0.0,,,HARD_TO_BORROW
SSYS,False,0,8.825,0.0,,,HARD_TO_BORROW
STRT,False,0,80.8,0.0,,,HARD_TO_BORROW
STTK,False,0,8.2,0.0,,,HARD_TO_BORROW
SWIM,False,0,6.1348,0.0,,,HARD_TO_BORROW
TASK,False,0,7.185,0.0,,,HARD_TO_BORROW
TBB,False,0,21.6,0.0,,,HARD_TO_BORROW
TBLA,False,0,3.7649,0.0,,,HARD_TO_BORROW
TBRG,False,0,22.69,0.0,,,HARD_TO_BORROW
TCBX,False,0,41.865,0.0,,,HARD_TO_BORROW
TCI,False,0,36.275,0.0,,,HARD_TO_BORROW
TCPC,False,0,4.305,0.0,,,HARD_TO_BORROW
TECX,False,0,28.905,0.0,,,HARD_TO_BORROW
TG,False,0,9.16,0.0,,,HARD_TO_BORROW
THFF,False,0,67.41,0.0,,,HARD_TO_BORROW
THRM,False,0,29.64,0.0,,,HARD_TO_BORROW
TIPT,False,0,17.44,0.0,,,HARD_TO_BORROW
TITN,False,0,20.65,0.0,,,HARD_TO_BORROW
TLS,False,0,4.385,0.0,,,HARD_TO_BORROW
TMP,False,0,85.52,0.0,,,HARD_TO_BORROW
TR,False,0,42.26,0.0,,,HARD_TO_BORROW
TRC,False,0,19.56,0.0,,,HARD_TO_BORROW
TRDA,False,0,13.72,0.0,,,HARD_TO_BORROW
TRINI,False,0,25.24,0.0,,,HARD_TO_BORROW
TRINZ,False,0,25.26,0.0,,,HARD_TO_BORROW
TRST,False,0,46.63,0.0,,,HARD_TO_BORROW
TSBK,False,0,41.38,0.0,,,HARD_TO_BORROW
TTGT,False,0,4.8855,0.0,,,HARD_TO_BORROW
TXO,False,0,11.6,0.0,,,HARD_TO_BORROW
TY,False,0,34.09,0.0,,,HARD_TO_BORROW
TYG,False,0,48.0399,0.0,,,HARD_TO_BORROW
TYGO,False,0,4.23,0.0,,,HARD_TO_BORROW
UDMY,False,0,5.19,0.0,,,HARD_TO_BORROW
UFCS,False,0,39.86,0.0,,,HARD_TO_BORROW
ULH,False,0,24.21,0.0,,,HARD_TO_BORROW
UNMA,False,0,23.67,0.0,,,HARD_TO_BORROW
UNTY,False,0,54.985,0.0,,,HARD_TO_BORROW
USAC,False,0,26.31,0.0,,,HARD_TO_BORROW
USCB,False,0,19.904,0.0,,,HARD_TO_BORROW
USNA,False,0,20.73,0.0,,,HARD_TO_BORROW
UVE,False,0,35.665,0.0,,,HARD_TO_BORROW
UZD,False,0,20.24,0.0,,,HARD_TO_BORROW
UZE,False,0,18.03,0.0,,,HARD_TO_BORROW
UZF,False,0,18.23,0.0,,,HARD_TO_BORROW
VACHU,False,0,12.65,0.0,,,HARD_TO_BORROW
VALU,False,0,35.59,0.0,,,HARD_TO_BORROW
VEL,False,0,19.885,0.0,,,HARD_TO_BORROW
VGZ,False,0,2.185,0.0,,,HARD_TO_BORROW
VHI,False,0,14.305,0.0,,,HARD_TO_BORROW
VLGEA,False,0,42.715,0.0,,,HARD_TO_BORROW
VMD,False,0,9.74,0.0,,,HARD_TO_BORROW
VREX,False,0,12.02,0.0,,,HARD_TO_BORROW
WBTN,False,0,12.24,0.0,,,HARD_TO_BORROW
WEST,False,0,5.81,0.0,,,HARD_TO_BORROW
WEYS,False,0,35.11,0.0,,,HARD_TO_BORROW
WLKP,False,0,22.47,0.0,,,HARD_TO_BORROW
WLYB,False,0,42.3125,0.0,,,HARD_TO_BORROW
WNC,True,1401830,9.7,13597751.0,,,AVAILABLE
WSBF,False,0,18.518,0.0,,,HARD_TO_BORROW
WTBA,False,0,24.425,0.0,,,HARD_TO_BORROW
XOMA,False,0,39.92,0.0,,,HARD_TO_BORROW
XOMAP,False,0,25.92,0.0,,,HARD_TO_BORROW
XPER,False,0,6.71,0.0,,,HARD_TO_BORROW
YORW,False,0,30.47,0.0,,,HARD_TO_BORROW
ZUMZ,False,0,25.13,0.0,,,HARD_TO_BORROW
ZURA,False,0,5.3788,0.0,,,HARD_TO_BORROW
