alpha_id,TRAIN_g,VAL_g,TEST_g,TRAIN_n,VAL_n,TEST_n,FULL_n,VT_n,to_per_bar,test_dd,test_ann_ret
229,-0.12859293847675635,3.6225053829032925,-1.6387081086960822,-0.3583622178464321,3.33457014487034,-1.962003744388481,-0.21648326922714053,0.7905364133438196,0.05515833392152711,-0.18049344702740777,-0.4259043276627958
230,0.053284965211526106,3.958719199834708,0.9240178525898108,-0.35311957685885204,3.59796222598965,0.5373144538513938,-0.01292226082838675,2.1335971811087666,0.09073676026623718,-0.14396808301971364,0.12660910076195192
231,0.019757521802301985,2.658308903588918,-0.03323058617511723,-0.4992790814762841,2.0179829520452657,-0.7561115371827254,-0.3535791197078241,0.738679063928644,0.11325733457226919,-0.12503471034648816,-0.13699702792185564
232,-0.13413252319909783,-0.38500500509374963,2.9414614217618134,-0.420555575170691,-0.7095189598322711,2.597337042240713,-0.2579460946180047,0.8535164363115513,0.06837426436162768,-0.05861537677171458,0.5805550098616021
233,0.8876722635349229,3.386048471626735,-0.6411217448047368,0.8025169181544954,3.302738552693822,-0.7265081574252867,0.8603948645650874,1.2934113314846125,0.01832915514940055,-0.11679817469527864,-0.1551732301249919
234,0.6376589939753398,0.9399378125885719,-1.5046968551157716,0.47321660698205475,0.7565751711559122,-1.7003851072474208,0.35971554960036034,-0.43637590418154243,0.03420817591085239,-0.13487300332384844,-0.3319661481602889
235,0.7080097630434372,0.20723823872323185,-0.5120203463062861,0.5063738400461311,-0.002725727529446391,-0.7290090118268804,0.39295090049621223,-0.3468400792087357,0.04034344273502866,-0.10264137479761315,-0.14266242119065944
236,0.15692988929758073,4.036908218186669,-1.8444786457771625,-0.140815109799347,3.748694029276673,-2.162838945375365,-0.01835831842520932,0.8464163519760787,0.06164952285511783,-0.2183974681373273,-0.43354555851440674
237,0.3542582013721568,3.172289388647246,-2.2306210873826267,0.2504152019375758,3.0685081267351637,-2.3799020856749173,0.31190407460988284,0.796489679589856,0.02500985550727536,-0.14008167196143906,-0.41730471946599723
238,0.3287595554463504,2.2249349321104552,-1.0070811879680184,0.14847368542167436,2.01405603443255,-1.2178868688553526,0.17602787397418776,0.37501932223011264,0.039860005617618086,-0.16613783553065142,-0.26569857665022273
239,0.21277195574409805,-1.68061351533444,-2.6661381033642293,0.1409380607179407,-1.773483027573866,-2.75259710711942,-0.1550303658656356,-2.2768162520250335,0.0165986061431066,-0.23783041675588212,-0.6242005950542506
240,0.941983809690165,0.5398526952291525,-2.140683735349299,0.7150319359471837,0.2802733788444982,-2.243129655824817,0.520619771411173,-0.9416936738367406,0.05754727653201653,-0.20179358550275484,-0.5250267721205181
241,0.8510552526170682,2.9794566111608423,1.34663837508931,0.7430784300491803,2.84906053022152,1.2250550081225768,0.8885199459136586,2.0564824216215056,0.02334683470247157,-0.06433994366230933,0.22582970747538011
242,0.6018246852982168,4.116691739778388,1.1473400654672536,0.4874026969415033,3.9953147113178074,1.042773430613302,0.7429515838248554,2.576977155075521,0.022026754766224958,-0.06798150752117749,0.19034206309817084
243,0.21830764651219267,1.7975344503513044,-1.670144395934899,0.13113962328620585,1.6990378078947537,-1.7763202910823026,0.11743654132286933,0.028502100965825995,0.01955933538301768,-0.16879315669665595,-0.38272400734176004
244,0.07048290906183319,3.3873460145223335,-2.2750193387530753,-0.03597933864256226,3.2508240339261962,-2.411905333119875,0.02856303394893326,0.5103528226362989,0.022896008699194958,-0.16686944138679127,-0.4577078489711711
